ID,membership,split,amounts,note
NA_35_935_sub135_16_36_female_MSfMRI.txt,1,3,2.2222,inUF9_3
NA_35_935_sub235_15_10_male_MSfMRI.txt,1,3,0.7778,inUF9_3
NA_37_934_sub137_13_26_female_MSfMRI.txt,1,3,1.4444,inUF9_3
NA_37_934_sub237_16_17_male_MSfMRI.txt,1,3,3.1111,inUF9_3
NA_38_938_sub138_13_6_female_MSfMRI.txt,1,3,0.2222,inUF9_3
NA_38_938_sub238_13_16_male_MSfMRI.txt,1,3,3.6667,inUF9_3
NA_4_902_sub104_14_26_female_MSfMRI.txt,1,3,0.1111,inUF9_3
NA_4_902_sub204_16_21_male_MSfMRI.txt,1,3,3.4444,inUF9_3
NA_6_906_sub106_15_7_female_MSfMRI.txt,1,3,1.8889,inUF9_3
NA_6_906_sub206_14_27_male_MSfMRI.txt,1,3,4,inUF9_3
NA_7_903_sub107_16_34_female_MSfMRI.txt,1,3,0,inUF9_3
NA_7_903_sub207_14_19_male_MSfMRI.txt,1,3,2,inUF9_3
MS_1_904_sub201_13_38_male_MSfMRI.txt,1,4,5.6667,inUF12_0
MS_11_909_sub211_15_23_male_MSfMRI.txt,1,4,3.2222,inUF12_0
MS_13_916_sub213_14_10_male_MSfMRI.txt,1,4,3.3333,inUF12_0
MS_16_913_sub216_13_26_male_MSfMRI.txt,1,4,6,inUF12_0
MS_17_920_sub217_15_17_male_MSfMRI.txt,1,4,0,inUF12_0
MS_19_917_sub219_13_16_male_MSfMRI.txt,1,4,4.3333,inUF12_0
MS_21_924_sub221_13_20_male_MSfMRI.txt,1,4,2.1111,inUF12_0
MS_24_921_sub224_14_18_male_MSfMRI.txt,1,4,1.2222,inUF12_0
MS_26_928_sub226_16_9_male_MSfMRI.txt,1,4,2,inUF12_0
MS_28_925_sub228_16_10_male_MSfMRI.txt,1,4,4.1111,inUF12_0
MS_3_901_sub203_15_22_male_MSfMRI.txt,1,4,3.8889,inUF12_0
MS_30_932_sub230_10_22_male_MSfMRI.txt,1,4,1.8889,inUF12_0
MS_32_929_sub232_14_23_male_MSfMRI.txt,1,4,5.8889,inUF12_0
MS_36_933_sub236_15_20_male_MSfMRI.txt,1,4,4.7778,inUF12_0
MS_39_937_sub239_14_14_male_MSfMRI.txt,1,4,5.7778,inUF12_0
