word,corr
"cognitive
control",0.131
mood,0.147
retrieval,0.171
attention,0.176
calculation,0.176
conflict,0.181
performance,0.183
"task
difficulty",0.185
reading,0.187
semantic,0.204
interference,0.208
language,0.209
memory,0.227
judgment,0.277
"working
memory",0.346
